product_id,title,category,cost_price,selling_price,competitor_match
B001,A Light in the Attic,Poetry,25.50,51.77,A Light in the Attic
B002,Tipping the Velvet,Historical Fiction,40.00,53.74,Tipping the Velvet
B003,Soumission,Fiction,38.00,50.10,Soumission
B004,Sharp Objects,Mystery,28.50,47.82,Sharp Objects
B005,Sapiens: A Brief History of Humankind,Nonfiction,32.00,54.23,Sapiens: A Brief History of Humankind
B006,The Requiem Red,Young Adult,22.00,22.65,The Requiem Red
B007,The Dirty Little Secrets of Getting Your Dream Job,Business,18.50,33.34,The Dirty Little Secrets of Getting Your Dream Job
B008,The Coming Woman: A Novel Based on the Life of the Infamous Feminist,Historical Fiction,15.00,17.93,The Coming Woman: A Novel Based on the Life of the Infamous Feminist Victoria Woodhull
B009,The Boys in the Boat,Nonfiction,24.00,22.60,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
B010,The Black Maria,Poetry,35.00,52.15,The Black Maria
B011,Starving Hearts,Romance,12.00,13.99,Starving Hearts (Triangular Trade Trilogy #1)
B012,Shakespeares Sonnets,Poetry,18.00,20.66,Shakespeare's Sonnets
B013,Set Me Free,Young Adult,14.50,17.46,Set Me Free
B014,Scott Pilgrims Precious Little Life,Sequential Art,16.00,52.29,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
B015,Rip It Up and Start Again,Music,28.00,35.02,Rip it Up and Start Again
B016,Our Band Could Be Your Life,Music,22.50,57.25,Our Band Could Be Your Life: Scenes from the American Indie Underground 1981-1991
B017,Olio,Poetry,19.00,23.88,Olio
B018,Mesaerion: The Best Science Fiction Stories,Science Fiction,26.00,37.59,Mesaerion: The Best Science Fiction Stories 1800-1849
B019,Libertarianism for Beginners,Nonfiction,14.00,51.33,Libertarianism for Beginners
B020,Its Only the Himalayas,Travel,28.50,45.17,It's Only the Himalayas
